,cyclone_name,cyclone_id,sar_time,file,match_type,analysis_center_quality_flag,analysis_rmax,analysis_vmax,vmax,sar_aeqd_path,sargeo_path,nan_ratio_within_100km,split
18,TALIAH,sh142025,2025-02-03 10:47:42,rcm3-sclna-owi-cm-20250203t104742-20250203t104858-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,38000.0,36.312403703629386,36,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm3-sclna-owi-cm-20250203t104742-20250203t104858-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm3-sclna-owi-cm-20250203t104742-20250203t104858-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
19,TALIAH,sh142025,2025-02-13 12:38:17,rcm2-sclna-owi-cm-20250213t123817-20250213t123931-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,124000.0,27.284933101421533,25,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclna-owi-cm-20250213t123817-20250213t123931-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclna-owi-cm-20250213t123817-20250213t123931-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0571064372211599,train
21,TALIAH,sh142025,2025-02-11 12:23:51,rcm2-sclnc-owi-cm-20250211t122351-20250211t122507-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,132000.0,34.599622204827945,33,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnc-owi-cm-20250211t122351-20250211t122507-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnc-owi-cm-20250211t122351-20250211t122507-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
23,TALIAH,sh142025,2025-02-13 23:50:08,rcm1-sclna-owi-cm-20250213t235008-20250213t235122-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,161000.0,25.63644128899558,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250213t235008-20250213t235122-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250213t235008-20250213t235122-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
24,TALIAH,sh142025,2025-02-06 22:51:59,rcm1-sclnc-owi-cm-20250206t225159-20250206t225314-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,2.2,94000.0,21.68594398564744,24,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnc-owi-cm-20250206t225159-20250206t225314-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnc-owi-cm-20250206t225159-20250206t225314-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1841937539834289,train
25,TALIAH,sh142025,2025-02-05 22:43:50,rcm1-sclna-owi-cm-20250205t224350-20250205t224505-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,1.9,73000.0,33.29325923756585,29,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250205t224350-20250205t224505-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250205t224350-20250205t224505-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.3960484384958572,train
29,TALIAH,sh142025,2025-02-09 23:15:55,rcm1-sclnd-owi-cm-20250209t231555-20250209t231711-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,1.4,47000.0,23.400164967725285,20,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnd-owi-cm-20250209t231555-20250209t231711-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnd-owi-cm-20250209t231555-20250209t231711-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
30,TALIAH,sh142025,2025-02-11 23:32:21,rcm1-sclnb-owi-cm-20250211t233221-20250211t233337-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,86000.0,30.106192575664146,33,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnb-owi-cm-20250211t233221-20250211t233337-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnb-owi-cm-20250211t233221-20250211t233337-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1376673040152963,train
31,TALIAH,sh142025,2025-02-03 21:55:57,rcm2-sclnd-owi-cm-20250203t215557-20250203t215713-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,40000.0,43.81933333333237,42,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm2-sclnd-owi-cm-20250203t215557-20250203t215713-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm2-sclnd-owi-cm-20250203t215557-20250203t215713-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
32,TALIAH,sh142025,2025-02-10 23:23:53,rcm1-sclnc-owi-cm-20250210t232353-20250210t232507-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,97000.0,30.10068842331432,28,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclnc-owi-cm-20250210t232353-20250210t232507-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclnc-owi-cm-20250210t232353-20250210t232507-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
33,TALIAH,sh142025,2025-02-17 00:15:54,rcm1-sclna-owi-cm-20250217t001554-20250217t001710-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.0,129000.0,20.40693592178385,20,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh142025/rcm1-sclna-owi-cm-20250217t001554-20250217t001710-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh142025/IRWIN/rcm1-sclna-owi-cm-20250217t001554-20250217t001710-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
34,JERRY,al102019,2019-09-20 22:18:37,s1a-iw-owi-cm-20190920t221952-20190920t222132-000003-034DF5_ll_gd_GEO-IRWIN.nc,fuzzy_sat_time,1.0,21000.0,36.31814814814816,32,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/al102019/s1a-iw-owi-cm-20190920t221837-20190920t222132-000003-_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/al102019/IRWIN/s1a-iw-owi-cm-20190920t221952-20190920t222132-000003-034DF5_ll_gd_GEO-IRWIN.nc,0.4220522625876354,test
35,BARRY,al022025,2025-06-30 00:37:45,rcm2-sclnd-owi-cm-20250630t003745-20250630t003900-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,3.8,16000.0,15.379181180372084,17,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/al022025no_env/rcm2-sclnd-owi-cm-20250630t003745-20250630t003900-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/al022025/IRWIN/rcm2-sclnd-owi-cm-20250630t003745-20250630t003900-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.4785213511790949,train
36,BARRY,al022025,2025-06-29 12:23:06,rcm2-sclna-owi-cm-20250629t122306-20250629t122421-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,5.6,38000.0,18.383176243360207,18,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/al022025no_env/rcm2-sclna-owi-cm-20250629t122306-20250629t122421-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/al022025/IRWIN/rcm2-sclna-owi-cm-20250629t122306-20250629t122421-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.1669853409815168,train
37,ROSLYN,ep192022,2022-10-22 12:47:53,rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-______ll_gd_GEO-IRWIN.nc,fuzzy_sat_time,1.4,8000.0,57.74698888888889,57,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep192022/rcm2-sclnd-owi-cm-20221022t124753-20221022t124853-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep192022/IRWIN/rcm2-sclnd-owi-cm-20221022t124742-20221022t124922-00003-______ll_gd_GEO-IRWIN.nc,0.0592734225621414,val
41,FAIDA,sh112025,2025-01-31 14:07:54,rcm2-sclnc-owi-cm-20250131t140754-20250131t140910-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,2.0,6000.0,18.23070919629479,18,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh112025/rcm2-sclnc-owi-cm-20250131t140754-20250131t140910-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh112025/IRWIN/rcm2-sclnc-owi-cm-20250131t140754-20250131t140910-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
42,FAIDA,sh112025,2025-02-02 14:44:30,s1a-ew-owi-cm-20250202t144430-20250202t144735-000003-071D6E_ll_gd_GEO-IRWIN.nc,exact_contains,1.65,5000.0,23.811104681434795,18,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh112025/s1a-ew-owi-cm-20250202t144430-20250202t144735-000003-_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh112025/IRWIN/s1a-ew-owi-cm-20250202t144430-20250202t144735-000003-071D6E_ll_gd_GEO-IRWIN.nc,0.0573613766730401,train
43,FAIDA,sh112025,2025-02-03 15:03:41,rcm1-sclnd-owi-cm-20250203t150341-20250203t150456-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,3.5,131000.0,11.20348989539491,19,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh112025/rcm1-sclnd-owi-cm-20250203t150341-20250203t150456-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh112025/IRWIN/rcm1-sclnd-owi-cm-20250203t150341-20250203t150456-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.4280433397068196,train
47,LINDA,ep122021,2021-08-18 14:39:06,rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,0.0,26000.0,41.341944444412704,45,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep122021/rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep122021/IRWIN/rcm2-sc100ma-owi-cm-20210818t143906-20210818t144138-00003-______ll_gd_GEO-IRWIN.nc,0.0,val
51,DANA,io032024,2024-10-24 12:17:20,rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,1.5,83000.0,30.33349582883096,33,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/io032024/rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/io032024/IRWIN/rcm2-sclnc-owi-cm-20241024t121720-20241024t121835-00003-______ll_gd_GEO-IRWIN.nc,0.0093052899936265,train
52,DANA,io032024,2024-10-23 12:08:41,rcm2-sclnb-owi-cm-20241023t120841-20241023t120956-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,2.0,93000.0,28.740243659312814,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/io032024/rcm2-sclnb-owi-cm-20241023t120841-20241023t120956-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/io032024/IRWIN/rcm2-sclnb-owi-cm-20241023t120841-20241023t120956-00003-______ll_gd_GEO-IRWIN.nc,0.0123645634161886,train
54,DUMAKO,sh122022,2022-02-15 02:10:05,s1a-iw-owi-cm-20220215t021005-20220215t021149-000003-04FDBB_ll_gd_GEO-IRWIN.nc,exact_contains,0.25,25000.0,24.317466666666668,23,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/sh122022/s1a-iw-owi-cm-20220215t021005-20220215t021149-000003-_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/sh122022/IRWIN/s1a-iw-owi-cm-20220215t021005-20220215t021149-000003-04FDBB_ll_gd_GEO-IRWIN.nc,0.4048438495857234,val
55,COSME,ep032025,2025-06-11 01:48:37,rcm1-sc50mc-owi-cm-20250611t014837-20250611t014955-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.3,33000.0,23.85615131133593,21,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep032025no_env/rcm1-sc50mc-owi-cm-20250611t014837-20250611t014955-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep032025/IRWIN/rcm1-sc50mc-owi-cm-20250611t014837-20250611t014955-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
56,COSME,ep032025,2025-06-10 01:40:20,rcm1-sc50ma-owi-cm-20250610t014020-20250610t014137-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,0.7,20000.0,30.323283628461084,31,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep032025no_env/rcm1-sc50ma-owi-cm-20250610t014020-20250610t014137-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep032025/IRWIN/rcm1-sc50ma-owi-cm-20250610t014020-20250610t014137-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
58,COSME,ep032025,2025-06-10 13:36:29,rcm1-sc50ma-owi-cm-20250610t133629-20250610t133746-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,1.7,22000.0,33.9634444284134,28,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep032025no_env/rcm1-sc50ma-owi-cm-20250610t133629-20250610t133746-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep032025/IRWIN/rcm1-sc50ma-owi-cm-20250610t133629-20250610t133746-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
59,COSME,ep032025,2025-06-09 13:28:40,rcm1-sc50ma-owi-cm-20250609t132840-20250609t132957-00003-xxxxx_ll_gd_GEO-IRWIN.nc,exact_contains,1.4,21000.0,32.80624441510091,29,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep032025no_env/rcm1-sc50ma-owi-cm-20250609t132840-20250609t132957-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep032025/IRWIN/rcm1-sc50ma-owi-cm-20250609t132840-20250609t132957-00003-xxxxx_ll_gd_GEO-IRWIN.nc,0.0,train
60,EMILIA,ep052024,2024-08-07 13:43:55,rcm2-sc50mb-owi-cm-20240807t134355-20240807t134513-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,0.95,57000.0,21.68644750696546,30,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep052024/rcm2-sc50mb-owi-cm-20240807t134355-20240807t134513-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep052024/IRWIN/rcm2-sc50mb-owi-cm-20240807t134355-20240807t134513-00003-______ll_gd_GEO-IRWIN.nc,0.207138304652645,train
61,EMILIA,ep052024,2024-08-07 01:48:52,rcm2-sc50ma-owi-cm-20240807t014852-20240807t015009-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,0.0,63000.0,26.379617908778645,29,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep052024/rcm2-sc50ma-owi-cm-20240807t014852-20240807t015009-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep052024/IRWIN/rcm2-sc50ma-owi-cm-20240807t014852-20240807t015009-00003-______ll_gd_GEO-IRWIN.nc,0.0,train
62,EMILIA,ep052024,2024-08-08 01:58:03,rcm2-sc50ma-owi-cm-20240808t015803-20240808t015920-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,0.0,83000.0,19.77504630445094,24,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep052024/rcm2-sc50ma-owi-cm-20240808t015803-20240808t015920-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep052024/IRWIN/rcm2-sc50ma-owi-cm-20240808t015803-20240808t015920-00003-______ll_gd_GEO-IRWIN.nc,0.0841300191204589,train
63,EMILIA,ep052024,2024-08-06 01:40:22,rcm2-sc50ma-owi-cm-20240806t014022-20240806t014139-00003-______ll_gd_GEO-IRWIN.nc,exact_contains,1.0,61000.0,27.74777630629803,25,/scale/user/mtannaou/alternance/donnees_sar_aeqd_09_janvier/ep052024/rcm2-sc50ma-owi-cm-20240806t014022-20240806t014139-00003_aeqd.nc,/scale/project/ifremer-isi-jumeaunumerique/SARGEO/prototype/v00r00/cyclobs/ep052024/IRWIN/rcm2-sc50ma-owi-cm-20240806t014022-20240806t014139-00003-______ll_gd_GEO-IRWIN.nc,0.1604843849585723,train
